Month,America Tropical Interpretive Center,Avila Adobe,Chinese American Museum,Gateway to Nature Center,Firehouse Museum,Hellman Quon,IAMLA,Pico House ,Visitor Center/ El Tranquilo Gallery,Museum of Social Justice,Biscailuz Gallery/ PK Outdoor Exhibit
01/01/2014 12:00:00 AM,"6,602","24,778","1,581",,"4,486",0,,"2,204","2,961",,
02/01/2014 12:00:00 AM,"5,029","18,976","1,785",,"4,172",0,,"1,330","2,276",,
03/01/2014 12:00:00 AM,"8,129","25,231","3,229",,"7,082",70,,"4,320","3,116",,
04/01/2014 12:00:00 AM,"2,824","26,989","2,129",,"6,756",250,,"3,277","2,808",,
05/01/2014 12:00:00 AM,"10,694","36,883","3,676",,"10,858",135,,"4,122","3,987",,
06/01/2014 12:00:00 AM,"11,036","29,487","2,121",,"5,751",255,,355,"3,133",,
07/01/2014 12:00:00 AM,"13,490","32,378","2,239",,"5,406",120,,"3,375","3,527",,
08/01/2014 12:00:00 AM,"9,139","37,680","1,769",,"8,619",250,,"1,550",0,,
09/01/2014 12:00:00 AM,"5,661","28,473","1,073",,"61,192","1,145",,"1,335",0,,
10/01/2014 12:00:00 AM,"7,356","27,995","1,979",,"6,488",550,,"1,518",0,,
11/01/2014 12:00:00 AM,"9,773","25,691","2,404",,"4,189",410,,"7,769",0,,
12/01/2014 12:00:00 AM,"7,184","18,754","1,319",,"4,339",565,,"1,140",0,,
01/01/2015 12:00:00 AM,"6,250","20,438","1,823",,"3,858",75,,200,"2,082",,
02/01/2015 12:00:00 AM,"5,907","15,578","1,558",,"3,742",160,,"1,075","2,751",,
03/01/2015 12:00:00 AM,"9,884","21,297","2,336",,"5,390",325,,"3,445","2,748",,
04/01/2015 12:00:00 AM,"7,254","26,670","3,057",,"7,000","2,000",,"3,292","3,408",,
05/01/2015 12:00:00 AM,"13,207","34,383","4,009",,"12,528",475,,"5,042","3,785",,
07/01/2015 12:00:00 AM,"11,072","41,242","3,057",,"6,111",100,,"4,225","4,233",,
06/01/2015 12:00:00 AM,"11,102","30,569","2,544",,"5,377",200,,"4,552","3,444",,
08/01/2015 12:00:00 AM,"12,096","30,700","2,415",,"5,383",50,,"5,974","3,606",,
09/01/2015 12:00:00 AM,"6,608","20,967","1,398",,"5,746",125,,700,"3,323",,
10/01/2015 12:00:00 AM,"12,524","29,764","2,237",,"8,882",750,,"4,158","3,209",,
11/01/2015 12:00:00 AM,"6,677","24,483","2,850",,"6,848",950,,"9,312","13,750",,
12/01/2015 12:00:00 AM,"5,967","21,426","2,075",,"4,502",120,,170,"3,367",,
01/01/2016 12:00:00 AM,"6,587","19,659","2,150",,"4,377",50,,250,"2,940",,
02/01/2016 12:00:00 AM,"6,955","17,378","2,547",,"3,675",60,,0,"2,288",,
05/01/2017 12:00:00 AM,"7,556","30,029","5,585","2,581","8,733",,863,500,"2,582",,930
06/01/2017 12:00:00 AM,"6,818","22,169","2,946","3,248","4,862",,872,40,"2,372",,891
03/01/2016 12:00:00 AM,"9,979","20,322","7,702",,"6,334",,,0,"3,839",,
08/01/2016 12:00:00 AM,"6,245","25,987","2,153",,"5,181",,930,475,"2,723",,
09/01/2016 12:00:00 AM,"6,977","22,897","1,754",,"4,736",,857,325,"1,221",,
10/01/2016 12:00:00 AM,"6,282","25,040","2,607",,"6,145",,"1,009","1,210","1,769",,760
11/01/2016 12:00:00 AM,"6,365","17,760","2,248",,"3,930",,863,0,"1,420",,"1,162"
12/01/2016 12:00:00 AM,"5,223","20,107","2,263",,"3,911",,772,715,973,,692
01/01/2017 12:00:00 AM,"4,929","18,792","2,531",,"3,551",,556,610,"1,325",,518
02/01/2017 12:00:00 AM,"4,493","14,035","2,139",,"3,491",,619,895,"1,049",,879
03/01/2017 12:00:00 AM,"6,271","20,680","5,966","3,116","5,273",,736,625,"1,366",,814
04/01/2017 12:00:00 AM,"6,685","25,234","3,273","3,440","5,320",,668,425,"3,070",,"1,124"
05/01/2016 12:00:00 AM,"7,757","31,728","4,565",,"9,315",,,265,"3,408",,
06/01/2016 12:00:00 AM,"6,751","23,696","3,034",,"4,918",,,220,"1,876",,
04/01/2016 12:00:00 AM,"5,113","24,521","3,485",,"6,509",,,50,"2,797",,
07/01/2016 12:00:00 AM,"12,188","31,689","2,776",,"5,602",,,215,"2,951",,
07/01/2017 12:00:00 AM,"8,675","30,831","2,939","4,227","5,242",,"1,431",295,"2,771",,"1,156"
08/01/2017 12:00:00 AM,"6,212","27,009","1,784","2,650","5,379",,"1,194",635,"2,182",,862
09/01/2017 12:00:00 AM,"4,607","23,403","1,704","1,825","4,484",,758,920,"2,130",,960
10/01/2017 12:00:00 AM,"6,097","22,164","2,419","1,250","4,822",,"1,351","3,580",,,536
11/01/2017 12:00:00 AM,"6,757","17,629","2,685","1,476","4,613",,"1,088",415,,,"1,586"
12/01/2017 12:00:00 AM,"6,780","18,339","2,768","1,316","4,448",,"1,205",605,,,"1,292"
03/01/2018 12:00:00 AM,"4,909","19,001","4,529",,"5,225",,965,"1,645",,"3,348","1,320"
02/01/2018 12:00:00 AM,"5,705","14,718","2,710",,"3,306",,"1,562",900,,"3,621","1,148"
04/01/2018 12:00:00 AM,"4,650","18,966","2,750",,"4,535",,"1,109","1,155",,"2,956","1,790"
01/01/2018 12:00:00 AM,"5,837","16,265","2,477",,"3,910",,"1,069",,,"3,585","1,141"
05/01/2018 12:00:00 AM,"5,626","25,173","4,960",,"8,013",,"1,601",250,,"2,332","1,628"
06/01/2018 12:00:00 AM,"4,694","22,171","2,518",,"4,635",,"1,232",410,,"2,351","1,434"
07/01/2018 12:00:00 AM,"4,718","23,136","2,620",,"4,191",,"1,323",327,,"3,686","1,422"
08/01/2018 12:00:00 AM,"3,891","20,815","2,409",,"4,866",,"1,147","1,119",,"2,604","1,331"
09/01/2018 12:00:00 AM,"3,180","21,020","2,146",,"4,956",,"1,031","2,140",,"2,670",926
10/01/2018 12:00:00 AM,"3,775","19,280","2,364",,"4,622",,"1,159","1,975",,"3,055","1,210"
11/01/2018 12:00:00 AM,"4,562","17,163","2,385",,"4,082",,"1,078","1,680",,"2,919",822
12/01/2018 12:00:00 AM,"4,081","17,722","2,078",,"4,253",,"1,168",185,,"2,694",349
01/01/2019 12:00:00 AM,"3,424","13,958","2,330",,"3,608",,837,"4,225",,"2,670",
02/01/2019 12:00:00 AM,"2,907","10,737","2,371",,"2,900",,816,475,,"2,080",406
03/01/2019 12:00:00 AM,"4,384","17,056","3,804",,"5,045",,"1,315",925,,"2,819","1,038"
04/01/2019 12:00:00 AM,"4,830","21,074","3,484","2,055","5,204",,"1,336",,,"1,933",
05/01/2019 12:00:00 AM,"6,230","26,041","4,570","2,699","8,202",,"1,883",290,,"1,959",
06/01/2019 12:00:00 AM,"3,995","20,226","2,853","1,065","4,787",,"1,177","1,800",,"2,557",933
07/01/2019 12:00:00 AM,"4,491","24,097","2,271",999,"4,432",,"1,480",90,,"2,911",774
08/01/2019 12:00:00 AM,"3,410","20,921","2,017",977,"4,460",,"1,258",120,,"1,701",872
09/01/2019 12:00:00 AM,"3,229","17,689","1,458","1,338","4,293",,904,740,,"2,722",569
10/01/2019 12:00:00 AM,"4,200","18,822","1,987","1,269","4,035",,"1,181","1,080",,"2,878",871
11/01/2019 12:00:00 AM,"4,362","15,507","2,808","1,566","4,385",,"1,472",225,,"10,740","1,976"
12/01/2019 12:00:00 AM,"2,702","15,398","2,388","1,211","3,566",,"1,088",485,,"1,948",
01/01/2020 12:00:00 AM,"3,508","15,518","2,603",695,"3,403",,"1,357",125,,"2,958",
02/01/2020 12:00:00 AM,"3,075","12,997","2,425",652,"3,854",,"1,081",150,,"2,591",
03/01/2020 12:00:00 AM,"1,062","4,520",524,261,"1,052",,260,140,,373,
04/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
05/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
06/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
07/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
08/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
09/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,
10/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,"2,533"
11/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,"3,801"
12/01/2020 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
01/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
02/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
03/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
04/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,0,0
05/01/2021 12:00:00 AM,0,0,0,0,0,,0,0,,"4,710",0
06/01/2021 12:00:00 AM,"1,047","3,710",0,0,"1,159",,227,0,,"3,235",0
07/01/2021 12:00:00 AM,0,"7,933",0,0,"2,083",0,602,0,0,"1,872",0
08/01/2021 12:00:00 AM,892,"6,214",0,0,"1,491",0,416,0,0,"1,591",0
09/01/2021 12:00:00 AM,"2,225","5,500",193,0,"1,370",0,482,0,0,817,0
